scientific_name,common_names,image_url,is_invasive,genus,subfamily,family,order,class,phylum,kingdom,watering_level,ppfd_min,ppfd_max,light_requirement,soil_type,growth_pattern,mature_height_cm,toxicity_notes
Monstera deliciosa,Swiss cheese plant|split-leaf philodendron,https://upload.wikimedia.org/wikipedia/commons/2/2a/Monstera_deliciosa2.jpg,true,Monstera,Monsteroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,400,bright indirect,"well-draining aroid mix (bark, perlite, peat)",climbing,300,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Monstera adansonii,Swiss cheese vine|adanson's monstera,https://upload.wikimedia.org/wikipedia/commons/3/3f/Monstera_adansonii_2.jpg,false,Monstera,Monsteroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,350,bright indirect,well-draining aroid mix,climbing/trailing,200,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Monstera obliqua,monstera obliqua,,false,Monstera,Monsteroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,"well-draining aroid mix, high humidity",climbing/trailing,150,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Philodendron hederaceum,heartleaf philodendron,https://upload.wikimedia.org/wikipedia/commons/9/95/Philodendron_hederaceum.jpg,false,Philodendron,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,100,300,bright indirect to medium,well-draining potting mix,climbing/trailing,300,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Philodendron bipinnatifidum,tree philodendron|lacy tree philodendron,https://upload.wikimedia.org/wikipedia/commons/8/85/Philodendron_bipinnatifidum2.jpg,false,Philodendron,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,350,bright indirect,rich well-draining potting mix,shrub/self-heading,200,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Philodendron erubescens,blushing philodendron|red-leaf philodendron,,false,Philodendron,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,well-draining aroid mix,climbing,200,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Philodendron scandens,heartleaf philodendron (syn. P. hederaceum),,false,Philodendron,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,100,300,bright indirect to medium,well-draining potting mix,climbing/trailing,300,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Philodendron gloriosum,philodendron gloriosum,,false,Philodendron,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,chunky well-draining aroid mix,creeping rhizomatous,60,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Philodendron melanochrysum,black gold philodendron|velvet philodendron,,false,Philodendron,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,"chunky well-draining aroid mix, high humidity",climbing,300,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Epipremnum aureum,golden pothos|devil's ivy,https://upload.wikimedia.org/wikipedia/commons/9/9e/Epipremnum_aureum_31082012.jpg,true,Epipremnum,Monsteroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,low,50,250,low to bright indirect,well-draining potting mix,climbing/trailing,300,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Epipremnum pinnatum,dragon tail plant,,true,Epipremnum,Monsteroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,low,50,250,low to bright indirect,well-draining potting mix,climbing/trailing,300,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Rhaphidophora tetrasperma,mini monstera|Ginny philodendron,https://upload.wikimedia.org/wikipedia/commons/1/17/Rhaphidophora_tetrasperma_2.jpg,false,Rhaphidophora,Monsteroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,well-draining aroid mix,climbing,200,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Anthurium andraeanum,flamingo flower|painter's palette,https://upload.wikimedia.org/wikipedia/commons/9/94/Anthurium_andraeanum_1.jpg,false,Anthurium,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,"well-draining aroid mix (bark, perlite, peat)",rosette/epiphytic,60,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Anthurium clarinervium,velvet cardboard anthurium,,false,Anthurium,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,chunky well-draining aroid mix,rosette,45,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Anthurium crystallinum,crystal anthurium,,false,Anthurium,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,"chunky well-draining aroid mix, high humidity",rosette,60,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Anthurium scherzerianum,flamingo lily|pigtail plant,,false,Anthurium,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,well-draining aroid mix,rosette/epiphytic,40,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Alocasia macrorrhizos,giant taro|elephant ear,https://upload.wikimedia.org/wikipedia/commons/6/6a/Alocasia_macrorrhiza.jpg,true,Alocasia,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,350,bright indirect,rich well-draining potting mix,upright rhizomatous,300,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Alocasia amazonica,Amazonian elephant ear (hybrid),,false,Alocasia,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,"well-draining aroid mix, high humidity",upright rhizomatous,60,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Alocasia zebrina,zebra plant|zebra alocasia,,false,Alocasia,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,"well-draining aroid mix, high humidity",upright rhizomatous,100,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Colocasia esculenta,taro|elephant ear,https://upload.wikimedia.org/wikipedia/commons/7/72/Colocasia_esculenta_1.jpg,true,Colocasia,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,high,150,350,full sun to partial shade,"rich moist soil, bog/aquatic tolerant",upright rhizomatous,150,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Caladium bicolor,heart of Jesus|angel wings,,false,Caladium,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,100,250,bright indirect to partial shade,rich well-draining potting mix,upright tuberous,60,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Zamioculcas zamiifolia,ZZ plant,https://upload.wikimedia.org/wikipedia/commons/9/93/Zamioculcas_zamiifolia2.jpg,false,Zamioculcas,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,low,50,250,low to bright indirect,well-draining potting mix,rhizomatous rosette,90,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Spathiphyllum wallisii,peace lily,https://upload.wikimedia.org/wikipedia/commons/1/12/Spathiphyllum_wallisii2.jpg,false,Spathiphyllum,Monsteroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,50,250,low to bright indirect,well-draining potting mix,clumping rosette,60,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Dieffenbachia seguine,dumb cane,,false,Dieffenbachia,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,100,250,bright indirect,well-draining potting mix,upright cane,150,"toxic to cats, dogs, and humans; calcium oxalate crystals cause severe oral/throat irritation, temporary speech loss"
Aglaonema commutatum,Chinese evergreen,https://upload.wikimedia.org/wikipedia/commons/2/22/Aglaonema_commutatum2.jpg,false,Aglaonema,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,low,50,200,low to medium indirect,well-draining potting mix,upright/clumping,60,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Syngonium podophyllum,arrowhead plant|nephthytis,https://upload.wikimedia.org/wikipedia/commons/9/95/Syngonium_podophyllum2.jpg,true,Syngonium,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,50,250,low to bright indirect,well-draining potting mix,climbing/trailing,200,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Homalomena rubescens,queen of hearts,,false,Homalomena,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,100,250,medium to bright indirect,well-draining potting mix,clumping rosette,60,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Pistia stratiotes,water lettuce,https://upload.wikimedia.org/wikipedia/commons/8/85/Pistia_stratiotes_002.JPG,true,Pistia,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,high,150,350,full sun to partial shade,"aquatic, free-floating",rosette/floating,15,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Arum italicum,Italian arum|lords-and-ladies,,true,Arum,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,50,250,partial shade to full sun,moist well-draining soil,tuberous herbaceous,45,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
Amorphophallus titanum,titan arum|corpse flower,https://upload.wikimedia.org/wikipedia/commons/8/86/Amorphophallus_titanum_bloom.jpg,false,Amorphophallus,Aroideae,Araceae,Alismatales,Liliopsida,Tracheophyta,Plantae,medium,150,300,bright indirect,rich well-draining potting mix,"tuberous, seasonal single-leaf",300,"toxic to cats, dogs, and humans if ingested; calcium oxalate crystals cause oral irritation, drooling, vomiting"
